MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_POSITION,65.7770000,-0.1120279,0.2153020,-0.0198542
MsgID.LOCAL_VELOCITY,65.7770000,-0.0007427,0.0057151,-0.0819125
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924802,0.0250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-0.1400000
MsgID.LOCAL_POSITION,66.0270000,-0.0291919,0.4182349,-0.0254869
MsgID.LOCAL_VELOCITY,66.0270000,-0.0095541,0.0131058,-0.1469285
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924813,0.0370000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0000000,-0.1300000
MsgID.LOCAL_POSITION,66.2770000,0.1022057,0.3531717,-0.0380222
MsgID.LOCAL_VELOCITY,66.2770000,-0.0217530,0.0011485,-0.1321452
MsgID.GLOBAL_POSITION,0.0000000,-122.3974511,37.7924800,0.0380000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0300000,0.0000000,-0.1200000
MsgID.LOCAL_POSITION,66.5270000,-0.0451406,0.1915233,-0.0381443
MsgID.LOCAL_VELOCITY,66.5270000,-0.0363227,-0.0035253,-0.1249186
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924797,0.0620000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0300000,0.0000000,-0.1800000
MsgID.LOCAL_POSITION,66.7770000,-0.0831419,0.2380817,-0.0627061
MsgID.LOCAL_VELOCITY,66.7770000,-0.0332907,0.0077754,-0.1809950
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924798,0.0650000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0100000,-0.0300000
MsgID.LOCAL_POSITION,67.0270000,-0.0700090,0.2960476,-0.0656421
MsgID.LOCAL_VELOCITY,67.0270000,-0.0279693,0.0130050,-0.0361440
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924797,0.0670000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0000000,-0.0300000
MsgID.LOCAL_POSITION,67.2770000,-0.0763275,0.2450635,-0.0680383
MsgID.LOCAL_VELOCITY,67.2770000,-0.0244172,0.0096636,-0.0363022
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924797,0.3400000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,-2.0500000
MsgID.LOCAL_POSITION,67.5280000,-0.0814561,0.2948614,-0.3409826
MsgID.LOCAL_VELOCITY,67.5280000,-0.0104314,0.0069280,-2.0553491
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924797,1.0200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-2.8700000
MsgID.LOCAL_POSITION,67.7780000,-0.0814581,0.3329179,-1.0367213
MsgID.LOCAL_VELOCITY,67.7780000,0.0021883,-0.0049173,-2.8897259
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924796,1.7460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,-3.0700000
MsgID.LOCAL_POSITION,68.0280000,-0.0947183,0.4298108,-1.7465204
MsgID.LOCAL_VELOCITY,68.0280000,-0.0000890,-0.0108039,-3.0767815
MsgID.GLOBAL_POSITION,0.0000000,-122.3974508,37.7924788,2.5980000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,-3.1700000
MsgID.LOCAL_POSITION,68.2780000,-0.1768756,0.2124372,-2.6114173
MsgID.LOCAL_VELOCITY,68.2780000,-0.0044132,-0.0221081,-3.1700850
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924802,15.0840000
MsgID.LOCAL_VELOCITY,0.0000000,0.1600000,0.9400000,-79.4300000
MsgID.LOCAL_POSITION,68.5280000,-0.0206975,0.2765075,-15.0842943
